number,values_0,values_1,values_2,values_3,values_4,datetime_start,datetime_complete,duration,params_gamma,params_lr,params_n_layer,params_wd,params_λ_boundary,params_λ_forward,params_λ_inverse,params_λ_latent,params_λ_pad,state
17,0.10588201880455017,0.011107303202152252,0.076264791,0.006939105,0.11360703408718109,21:37.4,24:05.1,0 days 00:02:27.722963,0.9561241676534833,0.001828841,4,1.5933675685285177e-05,0.5429247359651748,0.094740627,5.922352817287077,0.361981483,232.7615231,COMPLETE
39,0.202924445,0.014201026409864426,0.081250444,0.003545379,0.072524615,19:55.5,23:14.1,0 days 00:03:18.664029,0.9731841922319218,0.002983177,6,2.2480679843194433e-06,6.3481677247949415,0.013290178021482841,5.999932442301109,0.30389281110807564,3.388064275832111,COMPLETE
45,0.071257561,0.016113830730319023,0.07345634,0.007248229,0.11116983741521835,35:35.8,38:30.1,0 days 00:02:54.233412,0.9587121634680469,0.00140748,5,1.1777147444576608e-05,0.5635023718959832,4.683579495772815,2.346344381183016,1.6935092760189019,1.2761187405742211,COMPLETE
59,0.085202366,0.016382716596126556,0.067268081,0.003969085,0.13939963281154633,13:23.3,16:41.4,0 days 00:03:18.066063,0.9522845026037845,0.00085546,6,1.0297639696859506e-05,0.19434859914063674,1.7822302653629665,7.0561885538014595,3.313269302654847,3.7037794590668423,COMPLETE
36,0.078249827,0.017463719472289085,0.058505919,0.009542443,0.12178375571966171,12:18.6,14:42.5,0 days 00:02:23.978515,0.9588001980928211,0.001399907,4,4.701469353747517e-06,0.9392444127842364,3.1828642330306818,3.5516753336372195,3.176968788884886,1.2506085730951708,COMPLETE
44,0.1023450717329979,0.017834091559052467,0.091541789,0.005895866,0.07071735,32:46.1,35:35.8,0 days 00:02:49.761973,0.964645231,0.001106205,5,3.989404530040333e-06,8.568805980021637,0.16774127984092288,7.342046626244526,0.055856637,1.8076213045875669,COMPLETE
0,0.088239595,0.018476244062185287,0.10103914141654968,0.11370763927698135,0.17689912021160126,42:57.7,44:56.2,0 days 00:01:58.472950,0.9732184394670027,0.001186375,3,0.000109195,0.041215147381884254,0.5808226670342514,1.2511985806183072,0.036682243,0.013533985013418194,COMPLETE
8,0.11676187068223953,0.018934725,0.069552265,0.004591275,0.16435302793979645,02:15.0,05:02.3,0 days 00:02:47.322903,0.9744815067277669,0.001794112,5,0.000162069,0.0460982,0.075953344,1.0748767077635875,0.18311301210654993,1.1095276789793096,COMPLETE
37,0.085471205,0.019031420350074768,0.083502099,0.00456656,0.1265360414981842,14:42.5,17:02.6,0 days 00:02:20.019355,0.9604321421629597,0.002189086,4,1.613475644997936e-06,0.7122903545182337,1.9708778953525463,7.112692737919158,4.883075167709844,3.8313021558972378,COMPLETE
4,0.082172401,0.020038107,0.097584456,0.13033391535282135,0.14771489799022675,51:56.9,53:52.7,0 days 00:01:55.818690,0.9937318329301237,0.000760332,3,0.000325066,0.182093489,2.256942897764308,1.8917379240523822,0.17920748905272685,0.047567059,COMPLETE
49,0.17337103188037872,0.020356934517621994,0.10882724821567535,0.058008097,0.14228585362434387,46:14.7,49:06.5,0 days 00:02:51.798811,0.9988973881073968,0.000334128,5,0.00074885,0.1173663302418368,0.040438854378405435,0.5704572054691681,0.024032522591671192,0.044734810130599684,COMPLETE
35,0.076515652,0.020466433838009834,0.13244600594043732,0.005862953,0.11019600182771683,10:21.0,12:18.6,0 days 00:01:57.530931,0.9657590262609104,0.001737256,3,5.927916570253613e-06,1.3685904574388266,4.133120774237564,2.3265557210054313,0.07908458,3.677353920438607,COMPLETE
34,0.08015199,0.027253482,0.10249458253383636,0.003855961,0.088387772,07:06.2,10:21.0,0 days 00:03:14.821336,0.9589371208722663,0.000504015,6,1.3230427462395256e-05,3.4042431861093005,2.116628463156061,3.658223395135432,0.1958997569129037,4.724295050752197,COMPLETE
47,0.083128951,0.027686371,0.086601622,0.025417119,0.10944133251905441,40:28.2,42:53.4,0 days 00:02:25.174111,0.9511642102198314,0.00150203,4,1.0212909973770641e-05,0.9372402658453565,1.7657569315350972,1.4470088079510852,5.011586568051663,0.3474179225586043,COMPLETE
42,0.07254225,0.029351744800806046,0.090950064,0.006055835,0.11994896829128265,27:57.5,30:22.5,0 days 00:02:25.027872,0.9561827831961254,0.000555877,4,4.585122880246178e-06,2.087024222054587,6.721486202337611,3.539134594962804,0.4238161159271811,4.255010769,COMPLETE
56,0.076515786,0.03128016,0.065800481,0.00265055,0.13407370448112488,04:24.3,07:40.8,0 days 00:03:16.519920,0.9717956554907548,0.001582081,6,0.000109972,0.45904112203881914,5.403994351623304,1.0258933048256964,1.682451233323095,6.635261617524274,COMPLETE
